PrepositionFrequency,PronounFrequency,ArticleFrequency,HyperlinkFrequency,BlogwordFrequency,AssentWordFrequency,Polarity,Subjectivity,fmeasure,emoticons,gender
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0.2,0,0,0,0.6,1,0.515,0,male
0,0,0,0,0,0,0,0,0.505,0,male
0,0,0,0,0,0,0,0,0.845,0,male
0,0.2208,0.1039,0,0,0.039,0.175,0.575,0.43,0,male
0,0,0.087,0.087,0,0,0,0,0.535,0,male
0,0.0588,0.0588,0.0588,0.1176,0,0.1667,1,0.52,0.0588,male
0,0.1429,0.1429,0,0,0,0,0,0.515,0,male
0,0,0,0.6667,0,0,0,0,0.515,0,male
0,0.0769,0,0.0769,0,0,-0.7,0.6,0.565,0,male
0,0.1111,0,0.1111,0,0,0.5,1,0.515,0,male
0,0,0,0.1111,0,0.1111,-0.25,0.5,0.515,0,male
0,0,0,0.1429,0,0,0,0.1,0.51,0,male
0,0,0.2222,0,0,0,0,0,0.505,0,male
0,0,0,0.0769,0,0,0,0,0.515,0,male
0,0.0769,0.1538,0.0769,0,0,0,1,0.525,0,male
0,0.5,0,0,0,0,0,0,0.5,0,male
0,0,0,0.3333,0,0,-0.8,1,0.51,0,male
0,0.4,0,0,0,0,0.625,0.6,0.495,0,male
0,0,0.0769,0,0,0,0,0.125,0.515,0,male
0,0.25,0.25,0,0,0,0,0,0.515,0,male
0,0,0,0,0,0,0,0,0.5,0,male
0,0,0,0,0,0,0,0,0.515,0,male
0,0,0,0,0,0,-0.5,1,0.51,0,male
0,0,0.05,0.05,0,0,0.2667,0.2722,0.53,0,male
0,0.0833,0.0417,0,0,0,0.175,0.575,0.545,0,male
0,0,0,0,0,0,0,0,0.765,0,male
0,0,0,0,0,0,0,0,0.765,0,male
0,0,0,0,0,0,0,0,0.745,0,male
0,0,0,0,0,0,0,0,0.845,0,male
0,0,0,0.25,0,0,0,0,0.52,0.25,male
0,0,0,0,0,0,0,0,0.49,0,male
0,0,0,0,0,0,0,0,0.48,0,male
0,0.2143,0,0,0,0.0714,-0.5792,0.8,0.52,0.125,male
0,0,0,0.6667,0,0,0,0,0.515,0,male
0,0,0,0.5,0,0,0,0,0.505,0,male
0,0.1429,0.1429,0.1429,0,0,0.5,0.6,0.515,0,male
0,0,0,0.2,0,0,0,0,0.52,0,male
0,0,0,0.25,0,0,0,0,0.505,0,male
0,0,0,0.1667,0,0,0,0,0.51,0,male
0,0.2,0,0,0,0,0.2167,0.4944,0.49,0,male
0,0.1429,0,0,0,0,0,0,0.49,0,male
0,0,0,0,0,0,0,0,0.5,0,male
0,0,0,0,0,0,0,0,0.51,0,male
0,0.6,0,0.4,0,0,0,0,0.5,0,male
0,0.1111,0,0.2222,0,0,0.5,0.6,0.52,0,male
0,0,0,0.2,0,0,0.4615,0.2846,0.52,0,male
0,0,0,0.4,0,0,0,0,0.51,0,male
0,0,0.2222,0.2222,0,0,0,0,0.535,0,male
0,0,0,0.4,0,0,0,0,0.515,0,male
0,0,0,0.3333,0,0,0,0,0.52,0,male
0,0,0.1818,0.1818,0,0,0,0,0.535,0,male
0,0,0.1667,0.1667,0,0,0.225,0.425,0.54,0,male
0,0,0.1429,0.2857,0,0,0,0,0.53,0,male
0,0,0,0.4,0,0,0,0,0.515,0,male
0,0,0,0.3333,0,0,0,0,0.525,0,male
0,0,0.1111,0.2222,0,0,0,0,0.525,0,male
0,0,0.2,0.4,0,0,0,0,0.525,0,male
0,0,0,0.4,0,0,0,0,0.52,0,male
0,0,0,0.5,0,0,0,0,0.51,0,male
0,0.125,0,0,0,0,0.2333,0.2333,0.49,0,male
0,0,0,0,0,0,1,0.4,0.515,0,male
0,0.125,0,0.125,0,0.0625,0,0,0.475,0,male
0,0,0,0.6667,0,0,0,0,0.515,0,male
0,0,0,0.6667,0,0,0,0,0.515,0,male
0,0,0,0.5,0,0,0,0,0.515,0,male
0,0.0833,0.0833,0.1667,0,0,0,0,0.52,0,male
0,0.1667,0,0.3333,0,0,0,0,0.51,0,male
0,0.1,0,0.2,0,0,0,0,0.52,0,male
0,0.1429,0,0.2857,0,0,0,0,0.51,0,male
0,0,0,0.4,0,0,0,0,0.515,0,male
0,0,0,0.5,0,0,0,0,0.515,0,male
0,0.0833,0.0833,0.1667,0,0,1,0.3,0.525,0,male
0,0,0,0.5,0,0,0,0,0.515,0,male
0,0.1176,0,0,0,0,0,0,0.52,0,male
0,0,0,0.25,0,0,0,0,0.505,0,male
0,0,0,0.3333,0,0,0,0,0.505,0,male
0,0,0,0.25,0,0,0,0,0.505,0,male
0,0,0.0476,0.0476,0,0,0,0,0.57,0,male
0,0,0,0.25,0,0,0,0,0.51,0,male
0,0,0,0.25,0,0,0,0,0.505,0,male
0,0.1667,0,0.3333,0,0,0,0,0.515,0,male
0,0,0,0.6667,0,0,0,0,0.515,0,male
0,0,0,0.3333,0,0,0,0.3625,0.53,0,male
0,0,0,0.3333,0,0,0.2917,0.5833,0.53,0,male
0,0,0.25,0.25,0,0,0,0,0.515,0,male
0,0,0,0.4,0,0,0.1364,0.4545,0.52,0,male
0,0.0435,0.1304,0.0435,0,0,0.4182,0.5273,0.575,0,male
0,0.0625,0.125,0.125,0,0,0,0,0.53,0,male
0,0,0,0.6667,0,0,0,0,0.515,0,male
0,0,0,0,0,0,0,0,0.5,0,male
0,0,0,0,0,0,0.1667,0.3333,0.55,0,male
0,0.1,0,0,0,0,0,0,0.495,0,male
0,0.1776,0.0748,0,0.0093,0,-0.5042,0.6792,0.67,0,male
0,0.1111,0,0,0,0.1111,0,0,0.52,0,male
0,0.1667,0,0,0.125,0,0.2,0.2,0.5,0,male
0,0,0.0833,0.0833,0.0833,0,0.275,0.425,0.525,0,male
0,0,0,0,0,0,0,0,0.505,0,male
0,0.0833,0,0,0,0,-0.0441,0.5,0.49,0,male
0,0,0,0,0,0,0,0,0.505,0,male
0,0,0,0,0,0,0,0,0.53,0,male
0,0.2353,0,0,0,0,0.6,0.8,0.485,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,0.1667,0,0,0,0,0.505,0,male
0,0.0833,0,0,0,0,0,0,0.515,0.1667,male
0,0.0263,0,0,0,0,0,0,0.67,0,male
0,0,0.0833,0,0,0,0,0,0.505,0.0833,male
0,0,0,0,0,0,-0.1667,0.6667,0.64,0,male
0,0.1429,0.0714,0.0714,0,0,-0.029,0.3717,0.51,0,male
0,0,0,0,0,0,0,0,0.5,0,male
0,0.2,0.2,0.2,0,0,0,0,0.51,0,male
0,0.1667,0,0.0833,0,0.0833,-1,1,0.535,0,male
0,0,0,0,0,0,0,0,0.5,0,male
0,0,0.1667,0,0,0,0,0,0.52,0,male
0,0.25,0,0,0,0,0,0,0.51,0.25,male
0,0.2,0,0.2,0,0,0.25,0.2,0.49,0,male
0,0.0588,0.1176,0.0588,0,0,0,0,0.545,0.0588,male
0,0,0,0,0,0,0,0,0.5,0,male
0,0,0,0.5,0,0,0,0,0.505,0,male
0,0.25,0,0.25,0,0,0,0,0.5,0,male
0,0,0,0,0,0,0,0,0.5,0,male
0,0,0,0,0,0,0,0,0.5,0,male
0,0,0,0,0,0,1,1,0.51,0,male
0,0.0714,0.0714,0,0,0,1,1,0.515,0,male
0,0,0,0,0,0,-0.2885,0.4615,0.515,0,male
0,0,0,0.2,0,0,0,0,0.505,0,male
0,0.0769,0.0769,0,0,0.0769,-0.0909,0.6136,0.52,0,male
0,0,0,0,0,0,0,0,0.495,0,male
0,0,0,0,0,0,0,0,0.49,0,male
0,0,0,0,0,0,0,0,0.48,0,male
0,0.2143,0,0,0,0.0714,-0.5792,0.8,0.52,0.125,male
0,0.125,0,0,0.0625,0.0625,0,0,0.49,0,male
0,0,0,0.6667,0,0,0,0,0.515,0,male
0,0,0,0.5,0,0,0,0,0.515,0,male
0,0.0909,0.1818,0,0,0.0909,0.15,0.6,0.525,0,male
0,0,0,0.5,0,0,0,0,0.52,0,male
0,0,0,0,0,0.125,-0.35,0.7083,0.53,0,male
0,0.2,0,0,0,0,0,0,0.48,0,male
0,0.0968,0.0968,0,0,0,0,0.1,0.525,0,male
0,0.2857,0,0,0,0,-0.3333,0.6667,0.47,0,male
0,0,0,0,0,0,0,0,0.515,0,male
0,0.1905,0.0952,0,0,0,-0.0778,0.2944,0.515,0,male
0,0,0,0.1304,0,0,0,0.1,0.6,0.3043,male
0,0.2308,0,0,0,0,0,0,0.475,0,male
0,0,0,0.1304,0,0,0,0.1,0.6,0.3043,male
0,0,0.2222,0,0,0,-0.0625,0.6875,0.53,0,male
0,0,0,0.1304,0,0,0,0.1,0.6,0.3043,male
0,0.0625,0.125,0,0,0,-0.4,0.6,0.535,0,male
0,0.1111,0,0,0.0556,0,0.0788,0.4515,0.505,0,male
0,0.1,0,0,0,0,-0.4,0.4,0.51,0.3,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0.2,0.1,0.2,0,0,0.25,1,0.505,0,male
0,0,0.1667,0.3333,0,0,0,0,0.52,0,male
0,0.1818,0.0455,0.0909,0,0,-0.0014,0.7222,0.48,0.0455,male
0,0,0,0,0,0,0,0,0.5,0,male
0,0,0,0.6667,0,0,0,0,0.515,0,male
0,0.0312,0,0,0,0.0312,0,0,0.61,0,male
0,0,0,0,0,0,0,0,0.485,0,male
0,0.3,0,0,0,0,-0.5,1,0.48,0,male
0,0.0455,0.0909,0,0,0,0,0.3571,0.54,0,male
0,0,0,0,0,0,0.85,1,0.5,0,male
0,0.2143,0.0714,0,0,0.0714,0,0,0.49,0,male
0,0.0288,0.0144,0,0.0721,0.0385,0,0,0.94,0,male
0,0.0909,0,0,0.0909,0.0909,0.1216,0.4011,0.52,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,1,0,0,0,0,0.54,0,male
0,0.1,0.1,0.1,0,0,0,0,0.515,0.1,male
0,0,0,0.25,0,0,0,0,0.5,0,male
0,0,0,0.1667,0,0,0,0,0.51,0,male
0,0.1111,0,0.1111,0,0,0.2143,0.5,0.54,0,male
0,0.2857,0.1429,0,0,0,0,0,0.5,0,male
0,0.25,0.0312,0,0,0.1562,0.25,1,0.475,0,male
0,0,0,0.5,0,0,0,0,0.515,0,male
0,0,0,0.3333,0,0,0,0,0.52,0,male
0,0.25,0,0.5,0,0,0,0,0.515,0,male
0,0.4,0,0,0,0,0,0,0.485,0,male
0,0.0833,0,0.1667,0,0,0.125,0.2,0.53,0,male
0,0.1765,0,0.0588,0,0,0,0,0.5,0,male
0,0.1111,0,0.2222,0,0,0,0,0.5,0,male
0,0,0,0.25,0,0,0,0,0.505,0,male
0,0,0,0.3333,0,0,0.5,0.5,0.51,0,male
0,0,0,0.25,0,0,0,0,0.52,0,male
0,0,0,0.25,0,0,0,0,0.505,0,male
0,0,0,0.25,0,0,0,0,0.505,0,male
0,0,0,0.25,0,0,0,0,0.505,0,male
0,0,0,0,0,0,0,0,0.49,0,male
0,0,0,0,0,0,0,0,0.48,0,male
0,0.2143,0,0,0,0.0714,-0.5792,0.8,0.52,0.125,male
0,0.1667,0,0.1667,0,0,0,0,0.49,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,0.5,0,0,0,0,0.515,0,male
0,0,0.2,0.2,0,0,0,0,0.515,0,male
0,0,0.3333,0.1111,0,0,-0.1,0.2,0.535,0,male
0,0,0,0.2,0,0,0.5,0.5,0.52,0,male
0,0,0.0455,0.0455,0,0,0.1,0.4,0.535,0,male
0,0.125,0,0.125,0,0,0,0,0.51,0,male
0,0.0769,0,0.0769,0,0,0,0,0.53,0,male
0,0.1304,0.087,0.0435,0,0.0435,-0.1,0.35,0.515,0,male
0,0.0625,0,0.0625,0,0,0,0,0.49,0,male
0,0,0,1,0,0,0,0,0.51,0,male
0,0,0,1,0,0,0,0,0.51,0,male
0,0,0,1,0,0,0,0,0.51,0,male
0,0,0,1,0,0,0,0,0.51,0,male
0,0,0,1,0,0,0,0,0.51,0,male
0,0,0,1,0,0,0,0,0.51,0,male
0,0,0,1,0,0,0,0,0.51,0,male
0,0,0,1,0,0,0,0,0.51,0,male
0,0,0,1,0,0,0,0,0.51,0,male
0,0,0,1,0,0,0,0,0.51,0,male
0,0,0,1,0,0,0,0,0.51,0,male
0,0,0,1,0,0,0,0,0.51,0,male
0,0,0,1,0,0,0,0,0.51,0,male
0,0,0,1,0,0,0,0,0.51,0,male
0,0,0,0,0,0,0,0,0.515,0,male
0,0.125,0,0,0,0,0.7,0.6,0.49,0,male
0,0.3333,0,0,0,0,0,0,0.495,0,male
0,0.2727,0.0909,0,0,0,0.3,1,0.48,0,male
0,0.2353,0,0,0,0.0588,0.4083,0.75,0.47,0,male
0,0,0,0,0,0,0.6,0.9,0.505,0,male
0,0.25,0,0,0,0.0833,0,0,0.475,0,male
0,0.1818,0,0,0,0,0.2861,0.5097,0.49,0,male
0,0.1333,0.1333,0,0,0.0667,0.115,0.48,0.485,0,male
0,0.0833,0,0,0,0.1667,0,0,0.505,0,male
0,0,0,0,0.1667,0,0,0,0.5,0,male
0,0,0,0.5,0,0,0,0,0.505,0,male
0,0,0,0.5,0,0,0,0,0.51,0,male
0,0,0,0.25,0,0,0,0,0.515,0,male
0,0.25,0,0.25,0,0,0,0,0.5,0,male
0,0,0,0.5,0,0,0.6,1,0.51,0,male
0,0,0,0.125,0.125,0,0.8,0.2,0.51,0,male
0,0,0,0.5,0,0,0,0,0.51,0,male
0,0,0,0.3333,0,0,0,0,0.515,0,male
0,0,0,0.25,0,0,0,0,0.51,0,male
0,0,0.2,0.2,0,0,-0.5,0.8,0.52,0,male
0,0,0,0.5,0,0,0,0,0.505,0,male
0,0,0.25,0.25,0,0,-0.1875,0.5,0.52,0,male
0,0.2727,0,0.0909,0,0,-0.5,0.875,0.5,0,male
0,0,0,0.5,0,0,0,0,0.505,0,male
0,0,0,0.25,0,0,0.1,0.2,0.51,0,male
0,0,0,0.5,0,0,0,0,0.505,0,male
0,0.0588,0.0588,0.0588,0,0,-0.1625,0.6667,0.535,0,male
0,0,0,0.25,0,0,0,0,0.51,0,male
0,0,0,0.5,0,0,0,0,0.505,0,male
0,0,0,0.2,0,0,0,0,0.51,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0.25,0,0.25,0,0,0,0,0.51,0,male
0,0,0,0.25,0,0,0.2,0.2,0.505,0,male
0,0,0,0.25,0,0,-0.5,1,0.515,0,male
0,0,0,0.25,0,0,0,0,0.51,0,male
0,0,0,0.25,0,0,-1,1,0.515,0,male
0,0,0,0.3333,0,0,0,0,0.515,0,male
0,0.125,0.125,0.125,0,0,0,0,0.51,0,male
0,0,0,0.5,0,0,0,0,0.505,0,male
0,0,0,0.5,0,0,0,0,0.505,0,male
0,0,0,0.25,0,0,0,0,0.505,0,male
0,0,0,0.25,0,0,0,0,0.505,0,male
0,0,0.1429,0.1429,0,0,0,0,0.525,0,male
0,0,0,0.125,0,0,0,0,0.525,0,male
0,0,0,0.3333,0,0,0,0,0.505,0,male
0,0,0,0.3333,0,0,0.8,1,0.515,0,male
0,0,0,0.2,0,0,0,0,0.515,0,male
0,0.125,0.125,0.125,0,0,0.45,0.85,0.515,0,male
0,0,0,0.25,0,0,0,0,0.51,0,male
0,0,0,0.3333,0,0,0.5,0.5,0.505,0,male
0,0,0,0.3333,0,0,0.5,0.5,0.505,0,male
0,0.0909,0,0.0909,0,0,0,0,0.51,0,male
0,0,0,0.25,0,0,0.8,0.9,0.505,0,male
0,0,0,0.25,0,0,0.8,0.2,0.515,0,male
0,0,0.2,0.2,0,0,0,0,0.515,0,male
0,0,0,0.5,0,0,0,0,0.5,0,male
0,0,0,0.3333,0,0,0,0,0.505,0,male
0,0.25,0,0.25,0,0,0,0,0.495,0,male
0,0,0,0.25,0,0,0,0,0.505,0,male
0,0,0,0.2,0,0,0,0,0.52,0,male
0,0,0,0.3333,0,0,-0.7,0.6667,0.515,0,male
0,0.3333,0,0,0,0,0,0,0.51,0,male
0,0,0,0,0,0,0,0,0.52,0,male
0,0,0,0,0.2,0,0.45,0.7778,0.51,0.1667,male
0,0.1667,0,0,0,0,0,0.5,0.49,0,male
0,0,0.0625,0,0.0625,0,1,0.9,0.505,0,male
0,0.0244,0,0.1707,0,0,0.0625,0.5,0.55,0,male
0,0,0.1231,0.1692,0.0154,0,0,0,0.6,0,male
0,0.087,0.087,0,0.0435,0,-0.53,0.69,0.57,0,male
0,0.0455,0,0.0455,0,0,0.3393,0.5054,0.54,0,male
0,0,0.05,0.1,0,0,0.9,0.875,0.55,0,male
0,0.3333,0,0,0,0,0,0,0.51,0,male
0,0,0,0,0,0,0,0,0.52,0,male
0,0.0435,0.087,0.087,0,0,0.4667,0.8333,0.565,0,male
0,0,0,0.6667,0,0,0,0,0.515,0,male
0,0,0.125,0.25,0,0,0,0,0.525,0,male
0,0.1176,0.0588,0.1176,0,0,0,0,0.5,0,male
0,0.1,0.1,0.1,0,0,0.2083,0.1667,0.525,0,male
0,0.125,0.0625,0,0,0,0,0,0.53,0,male
0,0,0,0,0,0,0,0,0.485,0,male
0,0,0,0,0,0,-0.105,0.4,0.565,0,male
0,0,0,0,0,0,0.2,0.4,0.52,0,male
0,0,0,0,0,0,0,0,0.52,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0.125,0.125,0,0,0.13,0.39,0.52,0,male
0,0.2,0,0.2,0,0,0,0,0.505,0,male
0,0.125,0.0625,0,0.0625,0.0625,-0.0625,0.6875,0.525,0,male
0,0,0,0,0,0,0,0,0.5,0,male
0,0.125,0.0417,0.0417,0,0,0.35,0.55,0.505,0,male
0,0.0667,0.0667,0.0667,0,0,0.0536,0.3036,0.505,0,male
0,0,0,0.5,0,0,0,0,0.51,0,male
0,0,0,0.25,0,0,0,0,0.51,0.25,male
0,0.125,0.0625,0,0,0,0.9,0.875,0.53,0,male
0,0.125,0.125,0,0,0,0,0,0.515,0,male
0,0.2,0,0,0.2,0,0,0,0.505,0,male
0,0.1538,0,0,0,0,0.35,0.65,0.505,0,male
0,0.1111,0,0.1111,0,0,0,0,0.5,0,male
0,0.125,0,0.125,0,0,0,0,0.5,0,male
0,0,0,0.125,0,0,0,0,0.515,0,male
0,0,0,0.2,0,0,0.1364,0.4545,0.505,0,male
0,0,0,0.1667,0,0,0.1364,0.4545,0.505,0,male
0,0,0,0.1667,0,0,0.1364,0.4545,0.505,0,male
0,0,0,0.2,0,0,0.1364,0.4545,0.505,0,male
0,0,0,0.1667,0,0,0.1364,0.4545,0.505,0,male
0,0,0.2,0.2,0,0,0,0,0.52,0,male
0,0,0,0.1667,0,0,0,0,0.505,0,male
0,0,0,0.25,0,0,0,0,0.505,0,male
0,0,0,0.1429,0,0,0,0,0.51,0,male
0,0,0,0.1667,0,0,0,0,0.505,0,male
0,0,0,0.2,0,0,0.5,1,0.505,0,male
0,0,0,0.5,0,0,0,0,0.515,0,male
0,0.1667,0,0.3333,0,0,0,0,0.52,0,male
0,0,0,0,0,0.2,-0.125,0.4444,0.505,0,male
0,0.2143,0.0714,0,0,0,1,1,0.51,0,male
